project_id,task_id,template_id,task_name,start_date,end_date,owner,location,status,risk,sla_due,dependency
PROJ-00027,TASK-000092,TEMPLATE-009,Power Backup Setup - Excavation,2024-09-05,2024-09-06,Jillian Sullivan,Chennai,In Progress,High,2024-09-14,TASK-000091
PROJ-00027,TASK-000093,TEMPLATE-009,Power Backup Setup - Cable Laying,2024-09-05,2024-09-08,Anne Gilbert,Mumbai,Not Started,High,2024-09-14,TASK-000092
PROJ-00027,TASK-000094,TEMPLATE-009,Power Backup Setup - Testing,2024-09-05,2024-09-09,Harry Hayes,Chennai,Completed,Medium,2024-09-14,TASK-000093
PROJ-00027,TASK-000095,TEMPLATE-009,Power Backup Setup - Handover,2024-09-05,2024-09-10,Kevin Freeman,Hyderabad,Not Started,Medium,2024-09-14,TASK-000094
PROJ-00028,TASK-000096,TEMPLATE-010,Site Acceptance Test - Survey,2025-01-11,2025-01-15,Kristina Rodriguez,Chennai,Not Started,High,2025-01-23,TASK-000095
PROJ-00028,TASK-000097,TEMPLATE-010,Site Acceptance Test - Excavation,2025-01-11,2025-01-18,Michelle Daniels,Mumbai,In Progress,Medium,2025-01-23,TASK-000096
PROJ-00028,TASK-000098,TEMPLATE-010,Site Acceptance Test - Cable Laying,2025-01-11,2025-01-18,Anne Matthews,Mumbai,Completed,High,2025-01-23,TASK-000097
PROJ-00029,TASK-000099,TEMPLATE-006,Power Backup Setup - Survey,2024-10-14,2024-10-25,Lauren Montes,Mumbai,Completed,High,2024-10-30,TASK-000098
PROJ-00029,TASK-000100,TEMPLATE-006,Power Backup Setup - Excavation,2024-10-14,2024-10-19,Barbara Brooks,Bangalore,Completed,Medium,2024-10-30,TASK-000099
PROJ-00029,TASK-000101,TEMPLATE-006,Power Backup Setup - Cable Laying,2024-10-14,2024-10-26,Katherine Lopez,Chennai,In Progress,Low,2024-10-30,TASK-000100
PROJ-00030,TASK-000102,TEMPLATE-007,Site Acceptance Test - Survey,2024-09-06,2024-09-12,Christopher Farmer,Bangalore,In Progress,High,2024-09-15,TASK-000101
PROJ-00030,TASK-000103,TEMPLATE-007,Site Acceptance Test - Excavation,2024-09-06,2024-09-11,Linda Long,Chennai,Delayed,High,2024-09-15,TASK-000102
PROJ-00030,TASK-000104,TEMPLATE-007,Site Acceptance Test - Cable Laying,2024-09-06,2024-09-13,Gabriel Rogers,Mumbai,Completed,Medium,2024-09-15,TASK-000103
PROJ-00030,TASK-000105,TEMPLATE-007,Site Acceptance Test - Testing,2024-09-06,2024-09-08,David Ware,Bangalore,Completed,Medium,2024-09-15,TASK-000104
PROJ-00030,TASK-000106,TEMPLATE-007,Site Acceptance Test - Handover,2024-09-06,2024-09-10,Michael Park,Bangalore,In Progress,High,2024-09-15,TASK-000105
PROJ-00031,TASK-000107,TEMPLATE-008,Power Backup Setup - Survey,2025-01-02,2025-01-05,George James,Delhi,Not Started,Medium,2025-01-07,TASK-000106
PROJ-00031,TASK-000108,TEMPLATE-008,Power Backup Setup - Excavation,2025-01-02,2025-01-05,Candace Parker,Hyderabad,Completed,Low,2025-01-07,TASK-000107
PROJ-00031,TASK-000109,TEMPLATE-008,Power Backup Setup - Cable Laying,2025-01-02,2025-01-03,Andrew Bell,Chennai,In Progress,Low,2025-01-07,TASK-000108
PROJ-00032,TASK-000110,TEMPLATE-003,Site Acceptance Test - Survey,2025-01-22,2025-01-23,Debra Schaefer,Mumbai,In Progress,Medium,2025-01-26,TASK-000109
PROJ-00032,TASK-000111,TEMPLATE-003,Site Acceptance Test - Excavation,2025-01-22,2025-01-23,Calvin Harrison,Bangalore,Delayed,High,2025-01-26,TASK-000110
PROJ-00032,TASK-000112,TEMPLATE-003,Site Acceptance Test - Cable Laying,2025-01-22,2025-01-23,Julie West,Bangalore,Delayed,Medium,2025-01-26,TASK-000111
PROJ-00033,TASK-000113,TEMPLATE-004,Fiber Trenching - Survey,2024-07-29,2024-08-01,Daniel Horn,Mumbai,Not Started,Medium,2024-08-10,TASK-000112
PROJ-00033,TASK-000114,TEMPLATE-004,Fiber Trenching - Excavation,2024-07-29,2024-08-02,David Franco,Delhi,Delayed,Low,2024-08-10,TASK-000113
PROJ-00033,TASK-000115,TEMPLATE-004,Fiber Trenching - Cable Laying,2024-07-29,2024-08-07,Curtis Mendez,Delhi,Not Started,Medium,2024-08-10,TASK-000114
PROJ-00034,TASK-000116,TEMPLATE-003,Site Acceptance Test - Survey,2025-01-31,2025-02-02,Scott Barrett,Hyderabad,Completed,Medium,2025-02-04,TASK-000115
PROJ-00034,TASK-000117,TEMPLATE-003,Site Acceptance Test - Excavation,2025-01-31,2025-02-02,Dennis Huynh,Hyderabad,Delayed,Low,2025-02-04,TASK-000116
PROJ-00034,TASK-000118,TEMPLATE-003,Site Acceptance Test - Cable Laying,2025-01-31,2025-02-02,Amy Simpson,Bangalore,Completed,Low,2025-02-04,TASK-000117
PROJ-00035,TASK-000119,TEMPLATE-005,RF Optimization - Survey,2025-04-24,2025-05-02,Antonio Blair,Delhi,Completed,Medium,2025-05-04,TASK-000118
PROJ-00035,TASK-000120,TEMPLATE-005,RF Optimization - Excavation,2025-04-24,2025-04-26,Michael Miller,Chennai,In Progress,Medium,2025-05-04,TASK-000119
PROJ-00035,TASK-000121,TEMPLATE-005,RF Optimization - Cable Laying,2025-04-24,2025-04-30,William Nguyen,Chennai,Not Started,Low,2025-05-04,TASK-000120
PROJ-00035,TASK-000122,TEMPLATE-005,RF Optimization - Testing,2025-04-24,2025-04-27,Morgan Carr,Delhi,Delayed,High,2025-05-04,TASK-000121
PROJ-00036,TASK-000123,TEMPLATE-003,Site Acceptance Test - Survey,2024-12-30,2024-12-31,Brian Walker,Mumbai,Delayed,Medium,2025-01-03,TASK-000122
PROJ-00036,TASK-000124,TEMPLATE-003,Site Acceptance Test - Excavation,2024-12-30,2025-01-01,Michael Brown,Hyderabad,Delayed,Medium,2025-01-03,TASK-000123
PROJ-00036,TASK-000125,TEMPLATE-003,Site Acceptance Test - Cable Laying,2024-12-30,2024-12-31,Veronica Woodard,Delhi,Delayed,Medium,2025-01-03,TASK-000124
PROJ-00037,TASK-000126,TEMPLATE-010,Site Acceptance Test - Survey,2025-02-26,2025-02-27,Timothy Mueller,Hyderabad,Delayed,Medium,2025-03-10,TASK-000125
PROJ-00037,TASK-000127,TEMPLATE-010,Site Acceptance Test - Excavation,2025-02-26,2025-02-27,Linda Carpenter,Chennai,Completed,Medium,2025-03-10,TASK-000126
PROJ-00037,TASK-000128,TEMPLATE-010,Site Acceptance Test - Cable Laying,2025-02-26,2025-03-05,Melissa Walker,Hyderabad,In Progress,Medium,2025-03-10,TASK-000127
PROJ-00038,TASK-000129,TEMPLATE-004,Fiber Trenching - Survey,2025-01-24,2025-01-29,Robert Russell,Bangalore,Delayed,Low,2025-02-05,TASK-000128
PROJ-00038,TASK-000130,TEMPLATE-004,Fiber Trenching - Excavation,2025-01-24,2025-01-31,Katrina Werner,Chennai,Delayed,High,2025-02-05,TASK-000129
PROJ-00038,TASK-000131,TEMPLATE-004,Fiber Trenching - Cable Laying,2025-01-24,2025-01-27,David Ramirez,Bangalore,In Progress,High,2025-02-05,TASK-000130
PROJ-00039,TASK-000132,TEMPLATE-009,Power Backup Setup - Survey,2025-01-28,2025-01-29,Steven Nicholson,Bangalore,Not Started,Low,2025-02-06,TASK-000131
PROJ-00039,TASK-000133,TEMPLATE-009,Power Backup Setup - Excavation,2025-01-28,2025-02-03,Deborah Burke,Bangalore,In Progress,Medium,2025-02-06,TASK-000132
PROJ-00039,TASK-000134,TEMPLATE-009,Power Backup Setup - Cable Laying,2025-01-28,2025-01-30,Michelle Hess,Mumbai,Completed,Medium,2025-02-06,TASK-000133
PROJ-00039,TASK-000135,TEMPLATE-009,Power Backup Setup - Testing,2025-01-28,2025-01-31,Richard Richards,Delhi,Delayed,Medium,2025-02-06,TASK-000134
PROJ-00039,TASK-000136,TEMPLATE-009,Power Backup Setup - Handover,2025-01-28,2025-01-31,Garrett Mathews,Bangalore,Completed,Medium,2025-02-06,TASK-000135
PROJ-00040,TASK-000137,TEMPLATE-005,RF Optimization - Survey,2025-05-23,2025-05-25,Christina Barnes,Bangalore,Not Started,High,2025-06-02,TASK-000136
PROJ-00040,TASK-000138,TEMPLATE-005,RF Optimization - Excavation,2025-05-23,2025-05-24,Maria Wolfe,Chennai,In Progress,High,2025-06-02,TASK-000137
PROJ-00040,TASK-000139,TEMPLATE-005,RF Optimization - Cable Laying,2025-05-23,2025-05-25,Melissa Miller,Mumbai,Not Started,Low,2025-06-02,TASK-000138
PROJ-00040,TASK-000140,TEMPLATE-005,RF Optimization - Testing,2025-05-23,2025-05-27,Steven White,Mumbai,In Progress,Low,2025-06-02,TASK-000139
PROJ-00041,TASK-000141,TEMPLATE-003,Site Acceptance Test - Survey,2025-01-29,2025-01-31,Angela Mcgrath,Mumbai,In Progress,Medium,2025-02-02,TASK-000140
PROJ-00041,TASK-000142,TEMPLATE-003,Site Acceptance Test - Excavation,2025-01-29,2025-01-31,Bruce Collins,Chennai,In Progress,High,2025-02-02,TASK-000141
PROJ-00041,TASK-000143,TEMPLATE-003,Site Acceptance Test - Cable Laying,2025-01-29,2025-01-30,Joseph Singleton,Delhi,Completed,Low,2025-02-02,TASK-000142
PROJ-00042,TASK-000144,TEMPLATE-010,Site Acceptance Test - Survey,2024-09-06,2024-09-07,Tony Marshall,Chennai,Delayed,Medium,2024-09-18,TASK-000143
PROJ-00042,TASK-000145,TEMPLATE-010,Site Acceptance Test - Excavation,2024-09-06,2024-09-10,Ashley Juarez,Mumbai,In Progress,Low,2024-09-18,TASK-000144
PROJ-00042,TASK-000146,TEMPLATE-010,Site Acceptance Test - Cable Laying,2024-09-06,2024-09-11,Phillip Moon,Hyderabad,Not Started,High,2024-09-18,TASK-000145
PROJ-00043,TASK-000147,TEMPLATE-001,5G Tower Installation - Survey,2025-04-16,2025-04-18,Emily Mata,Hyderabad,Delayed,High,2025-04-20,TASK-000146
PROJ-00043,TASK-000148,TEMPLATE-001,5G Tower Installation - Excavation,2025-04-16,2025-04-18,Troy Taylor,Mumbai,Completed,Low,2025-04-20,TASK-000147
PROJ-00043,TASK-000149,TEMPLATE-001,5G Tower Installation - Cable Laying,2025-04-16,2025-04-18,Nicholas Daniels,Bangalore,Not Started,Medium,2025-04-20,TASK-000148
PROJ-00043,TASK-000150,TEMPLATE-001,5G Tower Installation - Testing,2025-04-16,2025-04-18,Erica Carter,Bangalore,In Progress,Medium,2025-04-20,TASK-000149
PROJ-00043,TASK-000151,TEMPLATE-001,5G Tower Installation - Handover,2025-04-16,2025-04-17,Mark Johnson,Hyderabad,Completed,High,2025-04-20,TASK-000150
PROJ-00044,TASK-000152,TEMPLATE-009,Power Backup Setup - Survey,2025-01-23,2025-01-30,Jennifer Miller,Bangalore,Delayed,Medium,2025-02-01,TASK-000151
PROJ-00044,TASK-000153,TEMPLATE-009,Power Backup Setup - Excavation,2025-01-23,2025-01-30,Michael Hardin,Hyderabad,Completed,Medium,2025-02-01,TASK-000152
PROJ-00044,TASK-000154,TEMPLATE-009,Power Backup Setup - Cable Laying,2025-01-23,2025-01-30,Sergio Cox,Delhi,Not Started,Medium,2025-02-01,TASK-000153
PROJ-00044,TASK-000155,TEMPLATE-009,Power Backup Setup - Testing,2025-01-23,2025-01-27,James Bradford,Delhi,Delayed,High,2025-02-01,TASK-000154
PROJ-00044,TASK-000156,TEMPLATE-009,Power Backup Setup - Handover,2025-01-23,2025-01-28,Lisa Ward,Bangalore,Completed,Low,2025-02-01,TASK-000155
